Blk 33 Bedok South Ave 2 S460033,1.32283,103.93901
Blk 702 Bedok Reservoir Road S470702,1.33724,103.91892
Blk 61 Chai Chee Road #01-840 S460061,1.32350,103.92327
Blk 20 Marine Terrace - level one opposite RC S440020,1.30372,103.91507
Blk 618B Punggol Drive S822618,1.40147,103.91212
Blk 166 Stirling Road S140166,1.29070,103.80236
Blk 441 Tampines Street 43 S520441,1.36031,103.95219
Blk 170 Lorong 1 Toa Payoh S310170,1.33132,103.84267
Blk 261A Toa Payoh East 1 S311261,1.33373,103.85572
205 Toa Payoh North S310205,1.34228,103.84775
Blk 162 Yishun Street 11 S760162,1.43306,103.83240
Blk 508B Yishun Avenue 4 S762508,1.41429,103.83984
Blk 804 Yishun Ring Road S760804,1.41790,103.83135
Blk 718 Woodlands Avenue 6 S730718,1.44176,103.80114
